X,Y,OBJECTID,evt_rt,evt_rin,evt_date,location,zone,rucr,rucr_ext_d
-63.56038835,44.6863150900001,295,GO,1106673,2020/11/25 00:00:00,MICMAC BLVD,E4,1430,ASSAULT
-63.586351266,44.7199608340001,296,GO,1106705,2020/11/25 00:00:00,GLORIA MCCLUSKEY AVE,E6,1420,ASSAULT
-63.59635594,44.6601394620001,297,GO,1106564,2020/11/25 00:00:00,ISLEVILLE ST,C5,2132,THEFT FROM VEHICLE
-63.573111018,44.6340567670001,298,GO,1106563,2020/11/25 00:00:00,INGLIS ST,C1,2142,THEFT FROM VEHICLE
-63.5612958,44.7058396910001,299,GO,1106598,2020/11/25 00:00:00,HECTOR GATE,E6,2120,BREAK AND ENTER
-63.56038835,44.6863150900001,300,GO,1106606,2020/11/25 00:00:00,MICMAC BLVD,E4,1430,ASSAULT
-63.58695103,44.640828232,301,GO,1106582,2020/11/25 00:00:00,SPRING GARDEN RD,C4,1430,ASSAULT
-63.632136469,44.652616649,302,GO,1106730,2020/11/25 00:00:00,MELROSE AVE,W3,1430,ASSAULT
-63.59635594,44.6601394620001,303,GO,1106660,2020/11/25 00:00:00,ISLEVILLE ST,C5,2120,BREAK AND ENTER
-63.6721770629999,44.67991017,304,GO,1106762,2020/11/25 00:00:00,WEDGEWOOD AVE,W5,2142,THEFT FROM VEHICLE
-63.5801915229999,44.6352200060001,305,GO,1106558,2020/11/25 00:00:00,LUNDYS LANE / WELLINGTON ST,C1,2142,THEFT FROM VEHICLE
-63.4781945299999,44.6725770130001,306,GO,1106820,2020/11/25 00:00:00,COLE HARBOUR RD,FOR,2142,THEFT FROM VEHICLE
-63.4781945299999,44.6725770130001,307,GO,1106761,2020/11/25 00:00:00,COLE HARBOUR RD,FOR,2142,THEFT FROM VEHICLE
-63.561452378,44.5538055910001,308,GO,1106579,2020/11/25 00:00:00,KETCH HARBOUR RD,W2,2135,THEFT OF VEHICLE
