,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
294,"frozenset({' Onions', ' White Bread', ' Wheat Bread'})",frozenset({' 2pct. Milk'}),0.02351212343864805,0.10947832476120499,0.020573108008817047,0.8750000000000001,7.9924496644295315,0.017999040123175197,7.124173401910366
269,"frozenset({' Garlic', ' Tomatoes'})",frozenset({' White Bread'}),0.02351212343864805,0.11903012490815577,0.020573108008817047,0.8750000000000001,7.351080246913581,0.017774457019058793,7.04775900073476
341,"frozenset({' Onions', ' Bananas'})",frozenset({' 2pct. Milk'}),0.02351212343864805,0.10947832476120499,0.020573108008817047,0.8750000000000001,7.9924496644295315,0.017999040123175197,7.124173401910366
70,"frozenset({' Eggs', ' Sugar Cookies', ' Tomatoes'})",frozenset({' White Bread'}),0.02351212343864805,0.11903012490815577,0.0213078618662748,0.9062500000000001,7.6136188271604945,0.018509210876516545,9.397012000979682
72,"frozenset({' Sugar Cookies', ' White Bread', ' Tomatoes'})",frozenset({' Eggs'}),0.02351212343864805,0.12270389419544453,0.0213078618662748,0.9062500000000001,7.385666167664671,0.0184228327595487,9.357825128581936
254,"frozenset({' Ramen Noodles', ' Wheat Bread'})",frozenset({' 2pct. Milk'}),0.024246877296105803,0.10947832476120499,0.0213078618662748,0.8787878787878789,8.027049013626197,0.01865335435920664,7.346803820720066
6,"frozenset({' Pancake Mix', ' Wheat Bread'})",frozenset({' White Bread'}),0.024246877296105803,0.11903012490815577,0.020573108008817047,0.8484848484848486,7.128320239431352,0.017686999175628847,5.814401175606177
285,"frozenset({' Eggs', ' Toothpaste', ' Wheat Bread'})",frozenset({' 2pct. Milk'}),0.024246877296105803,0.10947832476120499,0.0213078618662748,0.8787878787878789,8.027049013626197,0.01865335435920664,7.346803820720066
343,"frozenset({' 2pct. Milk', ' Plain Bagels'})",frozenset({' Eggs'}),0.024246877296105803,0.12270389419544453,0.020573108008817047,0.8484848484848486,6.9148974777717305,0.017597921742505754,5.790154298310071
311,"frozenset({' Eggs', ' Cola', ' Wheat Bread'})",frozenset({' 2pct. Milk'}),0.024246877296105803,0.10947832476120499,0.020573108008817047,0.8484848484848486,7.75025422005288,0.01791860050174889,5.877443056576052
214,"frozenset({' Apples', ' Wheat Bread'})",frozenset({' 2pct. Milk'}),0.024246877296105803,0.10947832476120499,0.020573108008817047,0.8484848484848486,7.75025422005288,0.01791860050174889,5.877443056576052
237,"frozenset({' Toothpaste', ' 2pct. Milk', ' Cola'})",frozenset({' White Bread'}),0.024981631153563555,0.11903012490815577,0.020573108008817047,0.823529411764706,6.918663761801017,0.017599541332198904,4.992162625520453
303,"frozenset({' Eggs', ' Wheat Bread', ' Potato Chips'})",frozenset({' 2pct. Milk'}),0.024981631153563555,0.10947832476120499,0.020573108008817047,0.823529411764706,7.522305566521912,0.01783816088032258,5.046289493019841
64,"frozenset({' Toothpaste', ' French Fries'})",frozenset({' White Bread'}),0.024981631153563555,0.11903012490815577,0.020573108008817047,0.823529411764706,6.918663761801017,0.017599541332198904,4.992162625520453
309,"frozenset({' Cola', ' White Bread', ' Wheat Bread'})",frozenset({' 2pct. Milk'}),0.024981631153563555,0.10947832476120499,0.020573108008817047,0.823529411764706,7.522305566521912,0.01783816088032258,5.046289493019841
332,"frozenset({' Bologna', ' Sweet Relish'})",frozenset({' White Bread'}),0.024981631153563555,0.11903012490815577,0.020573108008817047,0.823529411764706,6.918663761801017,0.017599541332198904,4.992162625520453
304,"frozenset({' 2pct. Milk', ' Wheat Bread', ' Potato Chips'})",frozenset({' Eggs'}),0.024981631153563555,0.12270389419544453,0.020573108008817047,0.823529411764706,6.711518140190209,0.017507764582920565,4.971344599559149
357,"frozenset({' Orange Juice', ' Potato Chips'})",frozenset({' Eggs'}),0.024981631153563555,0.12270389419544453,0.0213078618662748,0.8529411764705883,6.951215216625573,0.018242518440378316,5.96561351947098
358,"frozenset({' Orange Juice', ' Potato Chips'})",frozenset({' White Bread'}),0.024981631153563555,0.11903012490815577,0.020573108008817047,0.823529411764706,6.918663761801017,0.017599541332198904,4.992162625520453
301,"frozenset({' 2pct. Milk', ' Wheat Bread', ' Potato Chips'})",frozenset({' White Bread'}),0.024981631153563555,0.11903012490815577,0.02204261572373255,0.8823529411764707,7.41285403050109,0.019069049047114407,7.488243938280681
238,"frozenset({' Toothpaste', ' Cola', ' White Bread'})",frozenset({' 2pct. Milk'}),0.024981631153563555,0.10947832476120499,0.020573108008817047,0.823529411764706,7.522305566521912,0.01783816088032258,5.046289493019841
299,"frozenset({' Eggs', ' Wheat Bread', ' Potato Chips'})",frozenset({' White Bread'}),0.024981631153563555,0.11903012490815577,0.0213078618662748,0.8529411764705883,7.165758896151053,0.018334295189656652,5.990595150624544
308,"frozenset({' 2pct. Milk', ' Cola', ' Wheat Bread'})",frozenset({' White Bread'}),0.025716385011021307,0.11903012490815577,0.020573108008817047,0.8,6.720987654320988,0.017512083488768957,4.404849375459222
47,"frozenset({' Eggs', ' Onions', ' Potato Chips'})",frozenset({' 2pct. Milk'}),0.025716385011021307,0.10947832476120499,0.0213078618662748,0.8285714285714286,7.568360498561842,0.018492475116354025,5.194709772226306
138,"frozenset({' Toothpaste', ' 2pct. Milk', ' Sweet Relish'})",frozenset({' White Bread'}),0.025716385011021307,0.11903012490815577,0.0213078618662748,0.8285714285714286,6.961022927689594,0.01824683734622671,5.13899093803576
50,"frozenset({' 2pct. Milk', ' Onions', ' Potato Chips'})",frozenset({' White Bread'}),0.025716385011021307,0.11903012490815577,0.0213078618662748,0.8285714285714286,6.961022927689594,0.01824683734622671,5.13899093803576
48,"frozenset({' 2pct. Milk', ' Onions', ' Potato Chips'})",frozenset({' Eggs'}),0.025716385011021307,0.12270389419544453,0.0213078618662748,0.8285714285714286,6.752609067579128,0.018152361280793124,5.1175606171932415
117,"frozenset({' Hair Conditioner', ' Potato Chips'})",frozenset({' Eggs'}),0.025716385011021307,0.12270389419544453,0.0213078618662748,0.8285714285714286,6.752609067579128,0.018152361280793124,5.1175606171932415
118,"frozenset({' Hair Conditioner', ' Potato Chips'})",frozenset({' White Bread'}),0.025716385011021307,0.11903012490815577,0.0213078618662748,0.8285714285714286,6.961022927689594,0.01824683734622671,5.13899093803576
109,"frozenset({' 2pct. Milk', ' Salsa Dip'})",frozenset({' White Bread'}),0.025716385011021307,0.11903012490815577,0.020573108008817047,0.8,6.720987654320988,0.017512083488768957,4.404849375459222
108,"frozenset({' 2pct. Milk', ' Salsa Dip'})",frozenset({' Eggs'}),0.025716385011021307,0.12270389419544453,0.0213078618662748,0.8285714285714286,6.752609067579128,0.018152361280793124,5.1175606171932415
105,"frozenset({' Popcorn Salt', ' Cola'})",frozenset({' White Bread'}),0.025716385011021307,0.11903012490815577,0.020573108008817047,0.8,6.720987654320988,0.017512083488768957,4.404849375459222
104,"frozenset({' Popcorn Salt', ' Cola'})",frozenset({' 2pct. Milk'}),0.025716385011021307,0.10947832476120499,0.0213078618662748,0.8285714285714286,7.568360498561842,0.018492475116354025,5.194709772226306
312,"frozenset({' 2pct. Milk', ' Cola', ' Wheat Bread'})",frozenset({' Eggs'}),0.025716385011021307,0.12270389419544453,0.020573108008817047,0.8,6.519760479041916,0.017417607423335375,4.386480529022778
120,"frozenset({' Hair Conditioner', ' Potato Chips'})",frozenset({' 2pct. Milk'}),0.025716385011021307,0.10947832476120499,0.020573108008817047,0.8,7.307382550335571,0.017757721258896273,4.452608376193976
290,"frozenset({' Eggs', ' Onions', ' Wheat Bread'})",frozenset({' 2pct. Milk'}),0.025716385011021307,0.10947832476120499,0.0213078618662748,0.8285714285714286,7.568360498561842,0.018492475116354025,5.194709772226306
137,"frozenset({' Toothpaste', ' 2pct. Milk', ' Sweet Relish'})",frozenset({' Eggs'}),0.025716385011021307,0.12270389419544453,0.0213078618662748,0.8285714285714286,6.752609067579128,0.018152361280793124,5.1175606171932415
167,"frozenset({' Toothpaste', ' 2pct. Milk', ' Onions'})",frozenset({' White Bread'}),0.025716385011021307,0.11903012490815577,0.020573108008817047,0.8,6.720987654320988,0.017512083488768957,4.404849375459222
338,"frozenset({' Bananas', ' Wheat Bread'})",frozenset({' White Bread'}),0.025716385011021307,0.11903012490815577,0.020573108008817047,0.8,6.720987654320988,0.017512083488768957,4.404849375459222
183,"frozenset({' Eggs', ' 2pct. Milk', ' Tomatoes'})",frozenset({' White Bread'}),0.025716385011021307,0.11903012490815577,0.0213078618662748,0.8285714285714286,6.961022927689594,0.01824683734622671,5.13899093803576
337,"frozenset({' Bananas', ' Wheat Bread'})",frozenset({' 2pct. Milk'}),0.025716385011021307,0.10947832476120499,0.02204261572373255,0.8571428571428572,7.829338446788112,0.019227228973811777,6.233651726671567
245,"frozenset({' Wheat Bread', ' Pepperoni Pizza - Frozen'})",frozenset({' 2pct. Milk'}),0.025716385011021307,0.10947832476120499,0.020573108008817047,0.8,7.307382550335571,0.017757721258896273,4.452608376193976
246,"frozenset({' Toothpaste', ' Pepperoni Pizza - Frozen'})",frozenset({' 2pct. Milk'}),0.025716385011021307,0.10947832476120499,0.020573108008817047,0.8,7.307382550335571,0.017757721258896273,4.452608376193976
185,"frozenset({' 2pct. Milk', ' White Bread', ' Tomatoes'})",frozenset({' Eggs'}),0.025716385011021307,0.12270389419544453,0.0213078618662748,0.8285714285714286,6.752609067579128,0.018152361280793124,5.1175606171932415
339,"frozenset({' Bananas', ' Potato Chips'})",frozenset({' 2pct. Milk'}),0.025716385011021307,0.10947832476120499,0.020573108008817047,0.8,7.307382550335571,0.017757721258896273,4.452608376193976
340,"frozenset({' Bananas', ' Potato Chips'})",frozenset({' White Bread'}),0.025716385011021307,0.11903012490815577,0.020573108008817047,0.8,6.720987654320988,0.017512083488768957,4.404849375459222
212,"frozenset({' Apples', ' Potato Chips'})",frozenset({' 2pct. Milk'}),0.02645113886847906,0.10947832476120499,0.022777369581190303,0.8611111111111112,7.86558538404176,0.01988154320984322,6.411756061719326
122,"frozenset({' Eggs', ' White Bread', ' Sweet Relish'})",frozenset({' 2pct. Milk'}),0.02645113886847906,0.10947832476120499,0.0213078618662748,0.8055555555555556,7.35812826249068,0.018412035494927717,4.579825758370946
210,"frozenset({' Apples', ' Potato Chips'})",frozenset({' White Bread'}),0.02645113886847906,0.11903012490815577,0.020573108008817047,0.7777777777777779,6.5342935528120725,0.01742462564533901,3.964364437913301
116,"frozenset({' Toothpaste', ' Hair Conditioner'})",frozenset({' White Bread'}),0.02645113886847906,0.11903012490815577,0.020573108008817047,0.7777777777777779,6.5342935528120725,0.01742462564533901,3.964364437913301
5,"frozenset({' Pancake Mix', ' Potato Chips'})",frozenset({' White Bread'}),0.02645113886847906,0.11903012490815577,0.0213078618662748,0.8055555555555556,6.767661179698217,0.018159379502796762,4.5307022147580565
359,frozenset({' Raspberry Fruit Roll'}),frozenset({' White Bread'}),0.02645113886847906,0.11903012490815577,0.020573108008817047,0.7777777777777779,6.5342935528120725,0.01742462564533901,3.964364437913301
184,"frozenset({' Eggs', ' White Bread', ' Tomatoes'})",frozenset({' 2pct. Milk'}),0.02645113886847906,0.10947832476120499,0.0213078618662748,0.8055555555555556,7.35812826249068,0.018412035494927717,4.579825758370946
356,"frozenset({' Orange Juice', ' Toothpaste'})",frozenset({' 2pct. Milk'}),0.02645113886847906,0.10947832476120499,0.0213078618662748,0.8055555555555556,7.35812826249068,0.018412035494927717,4.579825758370946
115,"frozenset({' Toothpaste', ' Hair Conditioner'})",frozenset({' Eggs'}),0.02645113886847906,0.12270389419544453,0.020573108008817047,0.7777777777777779,6.338656021290753,0.017327450263750183,3.9478324761205017
101,"frozenset({' Popcorn Salt', ' Toothpaste'})",frozenset({' 2pct. Milk'}),0.02645113886847906,0.10947832476120499,0.02204261572373255,0.8333333333333334,7.61185682326622,0.01914678935238547,5.343130051432771
71,"frozenset({' Eggs', ' White Bread', ' Tomatoes'})",frozenset({' Sugar Cookies'}),0.02645113886847906,0.055106539309331376,0.0213078618662748,0.8055555555555556,14.618148148148148,0.019850231142442373,4.859452083552011
99,"frozenset({' Popcorn Salt', ' Toothpaste'})",frozenset({' White Bread'}),0.02645113886847906,0.11903012490815577,0.02204261572373255,0.8333333333333334,7.001028806584362,0.018894133360254514,5.285819250551066
25,"frozenset({' 2pct. Milk', ' White Bread', ' 98pct. Fat Free Hamburger'})",frozenset({' Eggs'}),0.02645113886847906,0.12270389419544453,0.0213078618662748,0.8055555555555556,6.565036593479707,0.018062204121207934,4.511808544137714
26,"frozenset({' 2pct. Milk', ' White Bread', ' 98pct. Fat Free Hamburger'})",frozenset({' Potato Chips'}),0.02645113886847906,0.09772226304188097,0.020573108008817047,0.7777777777777779,7.959064327485381,0.017988242858554215,4.060249816311537
342,"frozenset({' Eggs', ' Plain Bagels'})",frozenset({' 2pct. Milk'}),0.02645113886847906,0.10947832476120499,0.020573108008817047,0.7777777777777779,7.104399701715139,0.017677281637469965,4.00734753857458
132,"frozenset({' Eggs', ' Toothpaste', ' Sweet Relish'})",frozenset({' White Bread'}),0.02645113886847906,0.11903012490815577,0.020573108008817047,0.7777777777777779,6.5342935528120725,0.01742462564533901,3.964364437913301
133,"frozenset({' Eggs', ' White Bread', ' Sweet Relish'})",frozenset({' Toothpaste'}),0.02645113886847906,0.07935341660543718,0.020573108008817047,0.7777777777777779,9.801440329218108,0.018474119766498355,4.142909625275535
330,"frozenset({' Wheat Bread', ' Bologna'})",frozenset({' White Bread'}),0.02645113886847906,0.11903012490815577,0.0213078618662748,0.8055555555555556,6.767661179698217,0.018159379502796762,4.5307022147580565
331,"frozenset({' Bologna', ' 98pct. Fat Free Hamburger'})",frozenset({' White Bread'}),0.02645113886847906,0.11903012490815577,0.0213078618662748,0.8055555555555556,6.767661179698217,0.018159379502796762,4.5307022147580565
271,"frozenset({' Garlic', ' Potato Chips'})",frozenset({' White Bread'}),0.02645113886847906,0.11903012490815577,0.02204261572373255,0.8333333333333334,7.001028806584362,0.018894133360254514,5.285819250551066
136,"frozenset({' Eggs', ' Toothpaste', ' Sweet Relish'})",frozenset({' 2pct. Milk'}),0.02645113886847906,0.10947832476120499,0.0213078618662748,0.8055555555555556,7.35812826249068,0.018412035494927717,4.579825758370946
97,"frozenset({' Popcorn Salt', ' Toilet Paper'})",frozenset({' Eggs'}),0.02645113886847906,0.12270389419544453,0.0213078618662748,0.8055555555555556,6.565036593479707,0.018062204121207934,4.511808544137714
284,"frozenset({' Toothpaste', ' White Bread', ' Wheat Bread'})",frozenset({' 2pct. Milk'}),0.02645113886847906,0.10947832476120499,0.02204261572373255,0.8333333333333334,7.61185682326622,0.01914678935238547,5.343130051432771
98,"frozenset({' Popcorn Salt', ' Toilet Paper'})",frozenset({' White Bread'}),0.02645113886847906,0.11903012490815577,0.020573108008817047,0.7777777777777779,6.5342935528120725,0.01742462564533901,3.964364437913301
